"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(49, 41)","(48, 61)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(83, 43)","(88, 62)","(72, 68)","(55, 62)",,,,,,,
"(50, 38)","(53, 65)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(50, 38)","(52, 64)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(52, 64)","(65, 71)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(84, 43)","(88, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(53, 65)","(66, 72)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 58)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(49, 41)","(48, 61)","(72, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(50, 38)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(50, 38)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(48, 61)","(66, 72)","(92, 65)","(87, 41)","(72, 34)",,,,,,,
"(50, 38)","(49, 62)","(66, 72)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(84, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(90, 67)","(89, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(84, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 38)","(52, 64)","(65, 71)","(90, 67)","(89, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(84, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 38)","(53, 65)","(65, 71)","(90, 67)","(89, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(88, 48)","(87, 63)","(62, 66)","(51, 58)",,,,,,,
"(50, 38)","(51, 64)","(65, 71)","(90, 67)","(87, 41)","(73, 34)",,,,,,,
"(52, 43)","(71, 37)","(83, 43)","(87, 63)","(62, 66)","(51, 58)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(88, 48)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(50, 38)","(49, 62)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(50, 38)","(49, 62)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(66, 72)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(66, 72)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(76, 39)","(87, 46)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(53, 42)","(71, 37)","(84, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 41)","(48, 60)","(62, 70)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(49, 41)","(48, 60)","(62, 70)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(66, 72)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(83, 43)","(88, 62)","(71, 68)","(51, 57)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(88, 48)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(83, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(86, 41)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(87, 63)","(63, 67)","(51, 57)",,,,,,,
"(50, 39)","(48, 60)","(59, 69)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(88, 62)","(62, 66)","(51, 57)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(88, 62)","(62, 66)","(51, 57)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(66, 72)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(73, 38)","(85, 44)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(84, 43)","(88, 63)","(64, 67)","(51, 58)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(88, 48)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(84, 43)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(88, 48)","(87, 63)","(67, 68)","(53, 61)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(50, 63)","(65, 71)","(90, 67)","(87, 41)","(72, 34)",,,,,,,
"(49, 41)","(50, 63)","(65, 71)","(90, 66)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(83, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(50, 39)","(51, 64)","(66, 72)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(83, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(91, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(83, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(91, 67)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(73, 38)","(85, 44)","(87, 63)","(71, 68)","(51, 58)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(48, 60)","(66, 72)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(48, 60)","(59, 68)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(91, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(48, 60)","(73, 71)","(92, 65)","(90, 43)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(87, 63)","(64, 67)","(52, 59)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(71, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(83, 43)","(88, 63)","(62, 66)","(51, 57)",,,,,,,
"(52, 43)","(70, 37)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 44)","(71, 37)","(84, 43)","(88, 62)","(66, 68)","(52, 59)",,,,,,,
"(49, 41)","(48, 60)","(61, 70)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 41)","(48, 60)","(73, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(66, 72)","(90, 67)","(86, 41)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(66, 72)","(90, 67)","(86, 41)","(72, 34)",,,,,,,
"(52, 43)","(76, 39)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(71, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(71, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(71, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(89, 68)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(83, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(83, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(49, 40)","(52, 64)","(65, 71)","(91, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(83, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(50, 38)","(52, 64)","(65, 71)","(91, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(92, 65)","(86, 41)","(72, 34)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(50, 38)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(88, 48)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(91, 65)","(86, 41)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(91, 65)","(86, 41)","(72, 34)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(51, 45)","(73, 38)","(87, 46)","(88, 61)","(64, 67)","(52, 59)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(48, 61)","(66, 72)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(88, 48)","(87, 63)","(67, 68)","(54, 62)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(52, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(52, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(91, 65)","(90, 43)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(91, 65)","(90, 43)","(72, 34)",,,,,,,
"(52, 44)","(69, 37)","(84, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(49, 41)","(52, 64)","(67, 72)","(90, 66)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(87, 64)","(67, 68)","(55, 62)",,,,,,,
"(50, 38)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(88, 48)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(92, 65)","(90, 43)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(88, 48)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(76, 39)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(76, 39)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 40)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(76, 39)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(87, 63)","(66, 68)","(54, 62)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(84, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(68, 37)","(83, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 41)","(49, 61)","(72, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 44)","(70, 37)","(84, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(87, 41)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(87, 41)","(72, 34)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(90, 67)","(89, 42)","(72, 34)",,,,,,,
"(49, 40)","(52, 64)","(65, 71)","(90, 67)","(89, 42)","(72, 34)",,,,,,,
"(49, 40)","(52, 64)","(65, 71)","(90, 67)","(89, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(83, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(83, 43)","(88, 62)","(64, 67)","(52, 59)",,,,,,,
"(50, 38)","(50, 63)","(65, 71)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(66, 38)","(88, 48)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(50, 63)","(65, 71)","(90, 67)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(66, 38)","(88, 48)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(50, 63)","(65, 71)","(91, 65)","(87, 41)","(72, 34)",,,,,,,
"(50, 39)","(50, 63)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(84, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(87, 41)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(84, 43)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(50, 38)","(53, 65)","(65, 71)","(90, 67)","(89, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(88, 48)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(50, 38)","(53, 65)","(65, 71)","(90, 67)","(89, 42)","(72, 34)",,,,,,,
"(50, 39)","(48, 61)","(66, 72)","(90, 69)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(48, 61)","(66, 72)","(90, 69)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(83, 43)","(88, 62)","(64, 67)","(51, 58)",,,,,,,
"(49, 41)","(48, 60)","(66, 72)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(52, 64)","(66, 72)","(89, 68)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(90, 66)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(92, 64)","(86, 41)","(72, 34)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(92, 64)","(86, 41)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(88, 48)","(87, 63)","(69, 69)","(51, 57)",,,,,,,
"(49, 41)","(51, 64)","(68, 72)","(90, 69)","(86, 41)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(83, 43)","(87, 63)","(69, 69)","(51, 57)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(90, 69)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(92, 66)","(89, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(48, 60)","(65, 71)","(92, 66)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(73, 38)","(85, 44)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(48, 60)","(65, 71)","(92, 66)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(50, 63)","(65, 71)","(89, 68)","(90, 43)","(72, 34)",,,,,,,
"(71, 37)","(87, 46)","(88, 62)","(69, 69)","(52, 59)","(51, 45)",,,,,,,
"(49, 41)","(50, 63)","(65, 71)","(89, 68)","(90, 43)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(84, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(69, 72)","(92, 65)","(86, 41)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(83, 43)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(48, 61)","(72, 71)","(92, 65)","(88, 42)","(71, 34)",,,,,,,
"(52, 43)","(69, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 58)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(90, 66)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(90, 66)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(92, 65)","(89, 42)","(72, 34)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(68, 37)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(91, 65)","(88, 42)","(71, 34)",,,,,,,
"(52, 43)","(67, 38)","(84, 43)","(87, 63)","(62, 66)","(51, 57)",,,,,,,
"(49, 40)","(53, 65)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(48, 60)","(65, 71)","(90, 67)","(87, 41)","(72, 34)",,,,,,,
"(49, 41)","(48, 60)","(65, 71)","(90, 67)","(87, 41)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 41)","(51, 64)","(66, 72)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(70, 37)","(84, 43)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(49, 41)","(51, 64)","(66, 72)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(85, 44)","(88, 62)","(71, 68)","(51, 57)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(48, 60)","(69, 72)","(90, 66)","(88, 42)","(71, 34)",,,,,,,
"(49, 41)","(48, 60)","(69, 72)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(48, 60)","(69, 72)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(83, 43)","(88, 62)","(64, 67)","(51, 58)",,,,,,,
"(49, 40)","(53, 65)","(66, 72)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(71, 37)","(83, 43)","(88, 62)","(64, 67)","(51, 58)",,,,,,,
"(49, 40)","(53, 65)","(69, 72)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(66, 72)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(66, 72)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(88, 48)","(87, 63)","(67, 68)","(55, 62)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(66, 38)","(83, 43)","(88, 62)","(64, 67)","(51, 58)",,,,,,,
"(50, 39)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
